folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,6,452.1,512.1,25,2.72000000000008,6,9.75999999999993,0,0,0,0,2,4,5,10.98,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,7,512.1,572.1,0,0,1,0.339999999999918,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,8,572.1,632.1,0,0,7,7.57999999999993,0,0,0,0,3,6,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,9,632.1,692.1,3,0.139999999999986,9,6.03999999999985,0,0,0,0,3,6,1,0.200000000000045,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,10,692.1,752.1,11,2.62,0,0,0,0,0,0,0,0,2,5.79999999999996,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,11,752.1,812.1,7,1.32000000000005,0,0,0,0,0,0,0,0,2,2.92000000000007,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,12,812.1,872.1,14,1.50000000000034,7,2.36000000000013,0,0,0,0,2,4,2,5.07999999999993,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,13,872.1,932.1,0,0,1,0.0400000000000773,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,14,932.1,992.1,0,0,3,3.2199999999998,0,0,0,0,1,2,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,15,992.1,1052.1,3,0.240000000000009,0,0,0,0,0,0,0,0,1,2,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,16,1052.1,1112.1,8,0.960000000000264,0,0,0,0,0,0,0,0,4,8,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,17,1112.1,1172.1,0,0,10,6.18000000000029,0,0,0,0,3,6,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,18,1172.1,1232.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,19,1232.1,1292.1,0,0,3,1.38000000000011,0,0,0,0,1,2,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,20,1292.1,1352.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,21,1352.1,1412.1,0,0,1,0.180000000000064,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,22,1412.1,1472.1,12,1.67999999999984,0,0,0,0,0,0,0,0,3,6,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,23,1472.1,1532.1,10,3.50000000000045,0,0,0,0,0,0,0,0,4,8,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,24,1532.1,1592.1,10,2.4399999999996,7,3.16000000000008,0,0,0,0,2,4,2,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,25,1592.1,1652.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,26,1652.1,1712.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,27,1712.1,1772.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,28,1772.1,1832.1,3,7.5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,29,1832.1,1892.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P64,CRFRepeatTest1P64_Rat40.csv,40____,64,5,1,C,Marios,294,30,1892.1,1952.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,1,114.92,174.92,6,1.70000000000002,2,0.539999999999992,0,0,0,0,3,6,0,0,1,2,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,2,174.92,234.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,3,234.92,294.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,4,294.92,354.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,5,354.92,414.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,6,414.92,474.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,7,474.92,534.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,8,534.92,594.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,9,594.92,654.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,10,654.92,714.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,11,714.92,774.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,12,774.92,834.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,13,834.92,894.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,14,894.92,954.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,15,954.92,1014.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,16,1014.92,1074.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,17,1074.92,1134.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,18,1134.92,1194.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,19,1194.92,1254.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,20,1254.92,1314.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,21,1314.92,1374.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,22,1374.92,1434.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,23,1434.92,1494.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,24,1494.92,1554.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,25,1554.92,1614.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,26,1614.92,1674.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,27,1674.92,1734.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,28,1734.92,1794.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,29,1794.92,1854.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,30,1854.92,1914.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
