Day,subject,sex,Outcome,CSPair,CS_name,Period,MagEntries,MagDuration
5,32____,M,O1,AXBY,AX_,CS,0.125,0.015000000000043225
5,32____,M,O1,AXBY,AX_,Post,0.625,0.6150000000000944
5,32____,M,O1,AXBY,AX_,Pre,0.75,0.9825000000000018
5,32____,M,O1,AXBY,AX_,CSPre,-0.625,-0.9674999999999586
5,32____,M,O2,AB,B_O2,CS,3.5,5.340000000000104
5,32____,M,O2,AB,B_O2,Post,4.5,6.664999999999921
5,32____,M,O2,AB,B_O2,Pre,0.25,0.38999999999998625
5,32____,M,O2,AB,B_O2,CSPre,3.25,4.950000000000117
5,32____,M,O2,AXBY,BY_,CS,0.5,0.4524999999999863
5,32____,M,O2,AXBY,BY_,Post,0.75,1.2499999999999716
5,32____,M,O2,AXBY,BY_,Pre,0.625,0.6100000000000383
5,32____,M,O2,AXBY,BY_,CSPre,-0.125,-0.157500000000052
5,33____,M,O1,AB,A_O1,CS,2.5,3.649999999999835
5,33____,M,O1,AB,A_O1,Post,2.75,5.9699999999999696
5,33____,M,O1,AB,A_O1,Pre,0.5,3.860000000000042
5,33____,M,O1,AB,A_O1,CSPre,2,-0.2100000000002069
5,33____,M,O1,AXBY,AX_,CS,0.375,0.18000000000002103
5,33____,M,O1,AXBY,AX_,Post,0.75,1.6525000000000105
5,33____,M,O1,AXBY,AX_,Pre,1.25,2.5899999999999963
5,33____,M,O1,AXBY,AX_,CSPre,-0.875,-2.4099999999999753
5,33____,M,O2,AB,B_O2,CS,3.5,5.10000000000003
5,33____,M,O2,AB,B_O2,Post,2.75,7.464999999999861
5,33____,M,O2,AB,B_O2,Pre,0,0
5,33____,M,O2,AB,B_O2,CSPre,3.5,5.10000000000003
5,33____,M,O2,AXBY,BY_,CS,0.75,1.0474999999999817
5,33____,M,O2,AXBY,BY_,Post,0.75,1.5749999999999673
5,33____,M,O2,AXBY,BY_,Pre,0.75,0.5774999999999935
5,33____,M,O2,AXBY,BY_,CSPre,0,0.4699999999999882
5,4_____,F,O1,AB,A_O1,CS,2.25,2.925000000000011
5,4_____,F,O1,AB,A_O1,Post,2,4.6949999999998795
5,4_____,F,O1,AB,A_O1,Pre,0.25,0.3000000000000115
5,4_____,F,O1,AB,A_O1,CSPre,2,2.6249999999999996
5,4_____,F,O1,AXBY,AX_,CS,0.125,0.034999999999996624
5,4_____,F,O1,AXBY,AX_,Post,1.375,1.0775000000000006
5,4_____,F,O1,AXBY,AX_,Pre,0.125,0.1749999999999972
5,4_____,F,O1,AXBY,AX_,CSPre,0,-0.1400000000000006
5,4_____,F,O2,AB,B_O2,CS,3.75,3.6050000000000617
5,4_____,F,O2,AB,B_O2,Post,2,4.315000000000126
5,4_____,F,O2,AB,B_O2,Pre,0.5,1.7600000000000195
5,4_____,F,O2,AB,B_O2,CSPre,3.25,1.8450000000000422
5,4_____,F,O2,AXBY,BY_,CS,0.5,0.4774999999999636
5,4_____,F,O2,AXBY,BY_,Post,2.875,2.5774999999999575
5,4_____,F,O2,AXBY,BY_,Pre,0.625,0.8774999999999977
5,4_____,F,O2,AXBY,BY_,CSPre,-0.125,-0.4000000000000341
5,5_____,F,O1,AB,A_O1,CS,2.25,5.504999999999968
5,5_____,F,O1,AB,A_O1,Post,2,5.325000000000074
5,5_____,F,O1,AB,A_O1,Pre,0.25,1.8899999999999861
5,5_____,F,O1,AB,A_O1,CSPre,2,3.6149999999999816
5,5_____,F,O1,AXBY,AX_,CS,0.875,1.5400000000000489
5,5_____,F,O1,AXBY,AX_,Post,0.75,1.7600000000000513
5,5_____,F,O1,AXBY,AX_,Pre,0.5,1.3149999999999693
5,5_____,F,O1,AXBY,AX_,CSPre,0.375,0.22500000000007958
5,5_____,F,O2,AB,B_O2,CS,1.75,4.284999999999911
5,5_____,F,O2,AB,B_O2,Post,1.5,6.800000000000011
5,5_____,F,O2,AB,B_O2,Pre,0.25,0.5649999999999409
5,5_____,F,O2,AB,B_O2,CSPre,1.5,3.7199999999999704
5,5_____,F,O2,AXBY,BY_,CS,0.25,0.552500000000009
5,5_____,F,O2,AXBY,BY_,Post,0.625,1.1149999999999949
5,5_____,F,O2,AXBY,BY_,Pre,0.625,1.1099999999999781
5,5_____,F,O2,AXBY,BY_,CSPre,-0.375,-0.5574999999999691
5,6_____,F,O1,AB,A_O1,CS,3.25,2.99999999999983
5,6_____,F,O1,AB,A_O1,Post,1.25,4.80000000000004
5,6_____,F,O1,AB,A_O1,Pre,0,0
5,6_____,F,O1,AB,A_O1,CSPre,3.25,2.99999999999983
5,6_____,F,O1,AXBY,AX_,CS,0.75,0.24249999999995003
5,6_____,F,O1,AXBY,AX_,Post,1.375,1.619999999999905
5,6_____,F,O1,AXBY,AX_,Pre,0.25,0.9699999999999703
5,6_____,F,O1,AXBY,AX_,CSPre,0.5,-0.7275000000000202
5,6_____,F,O2,AB,B_O2,CS,3,2.514999999999987
5,6_____,F,O2,AB,B_O2,Post,2.25,2.269999999999967
5,6_____,F,O2,AB,B_O2,Pre,0.25,1
5,6_____,F,O2,AB,B_O2,CSPre,2.75,1.5149999999999868
5,6_____,F,O2,AXBY,BY_,CS,0.25,0.07499999999998863
5,6_____,F,O2,AXBY,BY_,Post,0.25,0.11500000000000912
5,6_____,F,O2,AXBY,BY_,Pre,0.125,0.19749999999999088
5,6_____,F,O2,AXBY,BY_,CSPre,0.125,-0.12250000000000225
5,7_____,F,O1,AB,A_O1,CS,3.25,3.5050000000000523
5,7_____,F,O1,AB,A_O1,Post,1,3.2799999999999585
5,7_____,F,O1,AB,A_O1,Pre,1.5,1.3750000000000564
5,7_____,F,O1,AB,A_O1,CSPre,1.75,2.129999999999996
5,7_____,F,O1,AXBY,AX_,CS,0.25,0.012499999999988624
5,7_____,F,O1,AXBY,AX_,Post,0.5,0.19249999999998116
5,7_____,F,O1,AXBY,AX_,Pre,1,0.9924999999999784
5,7_____,F,O1,AXBY,AX_,CSPre,-0.75,-0.9799999999999898
5,7_____,F,O2,AB,B_O2,CS,4.75,3.485000000000042
5,7_____,F,O2,AB,B_O2,Post,5.75,5.375000000000058
5,7_____,F,O2,AB,B_O2,Pre,1.25,0.5149999999999295
5,7_____,F,O2,AB,B_O2,CSPre,3.5,2.9700000000001125
5,7_____,F,O2,AXBY,BY_,CS,1,0.5174999999999839
5,7_____,F,O2,AXBY,BY_,Post,0.875,0.8649999999999523
5,7_____,F,O2,AXBY,BY_,Pre,0,0
5,7_____,F,O2,AXBY,BY_,CSPre,1,0.5174999999999839
5,8_____,F,O1,AB,A_O1,CS,1.5,3.3850000000000637
5,8_____,F,O1,AB,A_O1,Post,1.25,4.079999999999963
5,8_____,F,O1,AB,A_O1,Pre,0.75,1.3249999999999034
5,8_____,F,O1,AB,A_O1,CSPre,0.75,2.0600000000001604
5,8_____,F,O1,AXBY,AX_,CS,0.25,0.17999999999997837
5,8_____,F,O1,AXBY,AX_,Post,1,0.9374999999999679
5,8_____,F,O1,AXBY,AX_,Pre,0.375,0.2625000000000099
5,8_____,F,O1,AXBY,AX_,CSPre,-0.125,-0.08250000000003152
5,8_____,F,O2,AB,B_O2,CS,3.25,6.530000000000044
5,8_____,F,O2,AB,B_O2,Post,2,6.185000000000045
5,8_____,F,O2,AB,B_O2,Pre,0.5,0.0350000000000249
5,8_____,F,O2,AB,B_O2,CSPre,2.75,6.495000000000019
5,8_____,F,O2,AXBY,BY_,CS,0.75,1.1025000000000027
5,8_____,F,O2,AXBY,BY_,Post,0.875,1.992500000000021
5,8_____,F,O2,AXBY,BY_,Pre,0.375,0.16250000000001563
5,8_____,F,O2,AXBY,BY_,CSPre,0.375,0.9399999999999871
6,1_____,F,O1,AB,A_O1,CS,5.25,5.544999999999924
6,1_____,F,O1,AB,A_O1,Post,4.25,5.854999999999954
6,1_____,F,O1,AB,A_O1,Pre,0.25,0.1000000000000015
6,1_____,F,O1,AB,A_O1,CSPre,5,5.444999999999923
6,1_____,F,O1,AXBY,AX_,CS,1.5,1.554999999999964
6,1_____,F,O1,AXBY,AX_,Post,2.375,2.2750000000000483
6,1_____,F,O1,AXBY,AX_,Pre,0.125,0.1825000000000045
6,1_____,F,O1,AXBY,AX_,CSPre,1.375,1.3724999999999594
6,1_____,F,O2,AB,B_O2,CS,4.25,4.810000000000052
6,1_____,F,O2,AB,B_O2,Post,4.75,4.0350000000001
6,1_____,F,O2,AB,B_O2,Pre,0,0
6,1_____,F,O2,AB,B_O2,CSPre,4.25,4.810000000000052
6,1_____,F,O2,AXBY,BY_,CS,0.5,0.254999999999967
6,1_____,F,O2,AXBY,BY_,Post,0.875,1.0100000000000195
6,1_____,F,O2,AXBY,BY_,Pre,0.25,0.17750000000000918
6,1_____,F,O2,AXBY,BY_,CSPre,0.25,0.0774999999999578
6,2_____,F,O1,AB,A_O1,CS,4,3.3450000000000273
6,2_____,F,O1,AB,A_O1,Post,1.5,4.5850000000001145
6,2_____,F,O1,AB,A_O1,Pre,1.25,1.3749999999999787
6,2_____,F,O1,AB,A_O1,CSPre,2.75,1.9700000000000486
6,2_____,F,O1,AXBY,AX_,CS,1,0.8550000000000766
6,2_____,F,O1,AXBY,AX_,Post,2.5,2.4624999999999617
6,2_____,F,O1,AXBY,AX_,Pre,1.5,1.122499999999949
6,2_____,F,O1,AXBY,AX_,CSPre,-0.5,-0.2674999999998724
6,2_____,F,O2,AB,B_O2,CS,2.75,3.9249999999999545
6,2_____,F,O2,AB,B_O2,Post,1.25,3.365000000000066
6,2_____,F,O2,AB,B_O2,Pre,0,0
6,2_____,F,O2,AB,B_O2,CSPre,2.75,3.9249999999999545
6,2_____,F,O2,AXBY,BY_,CS,0.125,0.09250000000000116
6,2_____,F,O2,AXBY,BY_,Post,0.5,1.0850000000000222
6,2_____,F,O2,AXBY,BY_,Pre,0.875,0.4275000000000233
6,2_____,F,O2,AXBY,BY_,CSPre,-0.75,-0.33500000000002217
6,26____,M,O1,AB,A_O1,CS,3.5,4.504999999999878
6,26____,M,O1,AB,A_O1,Post,3.5,5.759999999999874
6,26____,M,O1,AB,A_O1,Pre,0.75,0.5899999999999748
6,26____,M,O1,AB,A_O1,CSPre,2.75,3.9149999999999032
6,26____,M,O1,AXBY,AX_,CS,2.375,4.19999999999996
6,26____,M,O1,AXBY,AX_,Post,3.25,3.5449999999999666
6,26____,M,O1,AXBY,AX_,Pre,0.625,1.2800000000000011
6,26____,M,O1,AXBY,AX_,CSPre,1.75,2.919999999999959
6,26____,M,O2,AB,B_O2,CS,2.5,6.465000000000032
6,26____,M,O2,AB,B_O2,Post,5.25,6.885000000000217
6,26____,M,O2,AB,B_O2,Pre,1.5,0.8799999999999953
6,26____,M,O2,AB,B_O2,CSPre,1,5.585000000000036
6,26____,M,O2,AXBY,BY_,CS,1.25,0.7575000000000215
6,26____,M,O2,AXBY,BY_,Post,0.875,0.5550000000000068
6,26____,M,O2,AXBY,BY_,Pre,0.5,0.8550000000000536
6,26____,M,O2,AXBY,BY_,CSPre,0.75,-0.09750000000003212
6,27____,M,O1,AB,A_O1,CS,2.75,3.850000000000122
6,27____,M,O1,AB,A_O1,Post,7.25,4.070000000000121
6,27____,M,O1,AB,A_O1,Pre,0.25,1.4600000000000366
6,27____,M,O1,AB,A_O1,CSPre,2.5,2.390000000000086
6,27____,M,O1,AXBY,AX_,CS,0.375,0.7324999999999873
6,27____,M,O1,AXBY,AX_,Post,1,0.7700000000000105
6,27____,M,O1,AXBY,AX_,Pre,0.125,0.7824999999999918
6,27____,M,O1,AXBY,AX_,CSPre,0.25,-0.050000000000004485
6,27____,M,O2,AB,B_O2,CS,3.5,3.724999999999972
6,27____,M,O2,AB,B_O2,Post,5.5,5.004999999999804
6,27____,M,O2,AB,B_O2,Pre,0.5,0.3600000000000705
6,27____,M,O2,AB,B_O2,CSPre,3,3.3649999999999016
6,27____,M,O2,AXBY,BY_,CS,0.125,0.14499999999999613
6,27____,M,O2,AXBY,BY_,Post,0.375,0.5450000000000017
6,27____,M,O2,AXBY,BY_,Pre,0.125,0.167500000000004
6,27____,M,O2,AXBY,BY_,CSPre,0,-0.022500000000007875
6,28____,M,O1,AB,A_O1,CS,5.5,4.500000000000085
6,28____,M,O1,AB,A_O1,Post,5,7.79500000000013
6,28____,M,O1,AB,A_O1,Pre,0,0
6,28____,M,O1,AB,A_O1,CSPre,5.5,4.500000000000085
6,28____,M,O1,AXBY,AX_,CS,1.5,0.7224999999999043
6,28____,M,O1,AXBY,AX_,Post,1.25,1.0050000000000097
6,28____,M,O1,AXBY,AX_,Pre,0.875,0.5724999999999909
6,28____,M,O1,AXBY,AX_,CSPre,0.625,0.14999999999991342
6,28____,M,O2,AB,B_O2,CS,6.25,3.585000000000193
6,28____,M,O2,AB,B_O2,Post,1.75,7.224999999999952
6,28____,M,O2,AB,B_O2,Pre,1.75,2.3649999999999523
6,28____,M,O2,AB,B_O2,CSPre,4.5,1.220000000000241
6,28____,M,O2,AXBY,BY_,CS,2.25,1.7600000000000762
6,28____,M,O2,AXBY,BY_,Post,2.875,2.5325000000000664
6,28____,M,O2,AXBY,BY_,Pre,1.25,1.3825000000000784
6,28____,M,O2,AXBY,BY_,CSPre,1,0.3774999999999977
6,29____,M,O1,AB,A_O1,CS,1.5,2.720000000000084
6,29____,M,O1,AB,A_O1,Post,1.25,5.9449999999999505
6,29____,M,O1,AB,A_O1,Pre,0.75,0.285000000000025
6,29____,M,O1,AB,A_O1,CSPre,0.75,2.435000000000059
6,29____,M,O1,AXBY,AX_,CS,0,0
6,29____,M,O1,AXBY,AX_,Post,0.75,0.264999999999958
6,29____,M,O1,AXBY,AX_,Pre,0.5,0.6075000000000161
6,29____,M,O1,AXBY,AX_,CSPre,-0.5,-0.6075000000000161
6,29____,M,O2,AB,B_O2,CS,1.75,3.499999999999943
6,29____,M,O2,AB,B_O2,Post,1.5,5.930000000000034
6,29____,M,O2,AB,B_O2,Pre,2.5,0.6500000000000339
6,29____,M,O2,AB,B_O2,CSPre,-0.75,2.849999999999909
6,29____,M,O2,AXBY,BY_,CS,0.5,0.8624999999999972
6,29____,M,O2,AXBY,BY_,Post,1.5,2.522500000000008
6,29____,M,O2,AXBY,BY_,Pre,0.75,0.5874999999999773
6,29____,M,O2,AXBY,BY_,CSPre,-0.25,0.2750000000000199
6,3_____,F,O1,AB,A_O1,CS,1,1.5400000000000205
6,3_____,F,O1,AB,A_O1,Post,2,5.224999999999966
6,3_____,F,O1,AB,A_O1,Pre,0.5,1.305000000000007
6,3_____,F,O1,AB,A_O1,CSPre,0.5,0.23500000000001342
6,3_____,F,O1,AXBY,AX_,CS,0.875,0.4525000000000574
6,3_____,F,O1,AXBY,AX_,Post,1.125,1.8499999999999728
6,3_____,F,O1,AXBY,AX_,Pre,0.5,2.455000000000041
6,3_____,F,O1,AXBY,AX_,CSPre,0.375,-2.0024999999999835
6,3_____,F,O2,AB,B_O2,CS,2.5,3.9049999999999163
6,3_____,F,O2,AB,B_O2,Post,0.75,6.390000000000043
6,3_____,F,O2,AB,B_O2,Pre,0.5,1.1450000000000387
6,3_____,F,O2,AB,B_O2,CSPre,2,2.7599999999998777
6,3_____,F,O2,AXBY,BY_,CS,1.625,4.252499999999923
6,3_____,F,O2,AXBY,BY_,Post,1.125,3.367499999999966
6,3_____,F,O2,AXBY,BY_,Pre,0.75,1.6074999999999875
6,3_____,F,O2,AXBY,BY_,CSPre,0.875,2.6449999999999356
6,30____,M,O1,AB,A_O1,CS,6.25,5.464999999999947
6,30____,M,O1,AB,A_O1,Post,2,8.485000000000099
6,30____,M,O1,AB,A_O1,Pre,2,1.2449999999999333
6,30____,M,O1,AB,A_O1,CSPre,4.25,4.220000000000013
6,30____,M,O1,AXBY,AX_,CS,2.625,1.3949999999999039
6,30____,M,O1,AXBY,AX_,Post,4.75,5.215000000000024
6,30____,M,O1,AXBY,AX_,Pre,1.125,1.2300000000000146
6,30____,M,O1,AXBY,AX_,CSPre,1.5,0.16499999999988924
6,30____,M,O2,AB,B_O2,CS,7.75,6.390000000000001
6,30____,M,O2,AB,B_O2,Post,5,6.0849999999999795
6,30____,M,O2,AB,B_O2,Pre,0.25,0.5350000000000817
6,30____,M,O2,AB,B_O2,CSPre,7.5,5.854999999999919
6,30____,M,O2,AXBY,BY_,CS,1.875,2.8700000000000827
6,30____,M,O2,AXBY,BY_,Post,3.875,5.135000000000104
6,30____,M,O2,AXBY,BY_,Pre,1.75,1.7199999999999633
6,30____,M,O2,AXBY,BY_,CSPre,0.125,1.1500000000001194
6,31____,M,O1,AB,A_O1,CS,3.25,6.970000000000084
6,31____,M,O1,AB,A_O1,Post,4.25,5.279999999999916
6,31____,M,O1,AB,A_O1,Pre,0.25,0.09000000000003175
6,31____,M,O1,AB,A_O1,CSPre,3,6.880000000000052
6,31____,M,O1,AXBY,AX_,CS,1.375,1.1199999999999835
6,31____,M,O1,AXBY,AX_,Post,1.25,2.889999999999993
6,31____,M,O1,AXBY,AX_,Pre,0.25,0.4025000000000034
6,31____,M,O1,AXBY,AX_,CSPre,1.125,0.71749999999998
6,31____,M,O2,AB,B_O2,CS,3,4.794999999999902
6,31____,M,O2,AB,B_O2,Post,2.5,7.019999999999975
6,31____,M,O2,AB,B_O2,Pre,0,0
6,31____,M,O2,AB,B_O2,CSPre,3,4.794999999999902
6,31____,M,O2,AXBY,BY_,CS,1.875,2.894999999999868
6,31____,M,O2,AXBY,BY_,Post,1.5,6.255000000000038
