Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,76,312,9,1,18____,6992,3,1,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,7124,1,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,7131,1,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,9785,1,2,2,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,9800,2,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,10035,2,1,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,11293,1,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,11301,1,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,12948,1,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,12988,1,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,12992,1,3,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,12995,3,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,12999,3,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,13011,3,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,13242,3,1,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,13832,1,0,0,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,13842,1,2,2,0,1,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,13847,2,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,14092,2,1,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,19629,1,3,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,19638,3,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,19879,3,1,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,30000,1,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,32324,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,32334,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,33387,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,33419,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,34749,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,34759,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,34999,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35095,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35107,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35111,6,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35118,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35132,6,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35139,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,35345,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,39127,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,39187,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,39377,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,40438,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,40525,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,40563,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,40570,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,46199,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,46210,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,46449,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,48477,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,48760,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53386,5,0,0,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53480,5,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53511,5,0,0,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53519,5,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53644,5,7,2,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53657,7,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,53894,7,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65054,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65188,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65228,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65249,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65263,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65296,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65513,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65954,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,65991,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,67673,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,67706,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,67923,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,76955,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,77000,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,77042,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,78457,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,78487,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,78546,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,78548,6,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,78623,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,78737,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,80742,5,0,0,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,80762,5,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,91851,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,91860,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,92101,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,95669,5,0,0,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,95679,5,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,95716,5,0,0,0,1,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,95735,5,0,0,0,0,0,0,0,1,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,95976,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,96050,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,96840,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,96847,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,96897,6,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,96939,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,97090,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,97892,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99480,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99497,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99531,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99747,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99905,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99916,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99945,6,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,99953,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,100155,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,101431,5,0,0,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,101474,5,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,101736,5,6,1,1,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,101750,6,0,0,0,0,0,0,1,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,101986,6,5,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,120000,5,4,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
C,Marios,76,312,9,1,18____,120250,4,-1,0,0,0,0,0,0,0,0,0,LPL_Reversal_Test_Day18,LPLreversalRR2Day18B
